"","Item","Prop","Value"
"3499","Q110245729","P496","""0000-0002-3657-9777"""
"3500","Q110245729","P1153","57204769552"
"3501","Q110245730","P1153","56431661900"
"3502","Q59549874","P496","""0000-0002-8653-0074"""
"3503","Q59549874","P1153","57220905772"
"3504","Q59549874","P1053","""O-6285-2016"""
"3505","Q110245731","P1153","33067833600"
"3506","Q110245732","P1153","55619311654"
"3507","Q57525384","P496","""0000-0003-2930-7017"""
"3508","Q57525384","P1153","55458385600"
"3509","Q110245733","P496","""0000-0001-8930-7364"""
"3510","Q110245733","P1153","55458416200"
"3511","Q110245734","P496","""0000-0003-1033-2271"""
"3512","Q110245735","P496","""0000-0003-1902-7791"""
"3513","Q110245735","P1153","53563939700"
"3514","Q110245735","P1053","""N-8603-2019"""
"3515","Q62269114","P496","""0000-0003-2584-0535"""
"3516","Q62269114","P1153","35315925700"
"3517","Q110245736","P1153","57020760100"
"3518","Q110245737","P1153","57191405428"
"3519","Q42703512","P496","""0000-0002-3819-6358"""
"3520","Q42703512","P1153","22134982700"
"3521","Q42703512","P1053","""B-1254-2011"""
"3522","Q57054029","P496","""0000-0001-7015-7298"""
"3523","Q110245738","P496","""0000-0002-0419-4960"""
"3524","Q110245738","P1153","57209599968"
"3525","Q110245739","P496","""0000-0001-6697-4981"""
"3526","Q110245739","P1153","56606910600"
"3527","Q110245740","P496","""0000-0002-7270-4619"""
"3528","Q110245740","P1153","8618572700"
"3529","Q110245741","P496","""0000-0001-7079-625X"""
"3530","Q110245741","P1153","13002644200"
"3531","Q110245743","P1153","56847492100"
"3532","Q110245744","P496","""0000-0003-3758-9413"""
"3533","Q110245744","P1153","57208258914"
"3534","Q110245745","P1153","56685679400"
"3535","Q110245746","P1153","57218917866"
"3536","Q110245747","P496","""0000-0001-7531-9989"""
"3537","Q110245747","P1153","55914243400"
"3538","Q62711856","P496","""0000-0001-8512-9986"""
"3539","Q62711856","P1153","56580013600"
"3540","Q110245748","P1153","57188660502"
"3541","Q110245749","P1153","57221999363"
"3542","Q57514829","P496","""0000-0002-2089-7965"""
"3543","Q57514829","P1153","6701772771"
"3544","Q57514829","P1053","""D-5751-2014"""
"3545","Q110245751","P1153","6506249171"
"3546","Q110245752","P496","""0000-0001-8764-7760"""
"3547","Q110245752","P1153","57220157827"
"3548","Q110245752","P1053","""AAZ-1153-2020"""
"3549","Q102367064","P496","""0000-0002-9205-668X"""
"3550","Q102367064","P1153","7004372899"
"3551","Q47502469","P496","""0000-0002-6321-9080"""
"3552","Q47502469","P1153","56042111800"
"3553","Q88123744","P1153","55053434200"
